state,Country,Region,Zonal Council
Andaman and Nicobar Islands,IND,IND,SZC
Andhra Pradesh,IND,IND,SZC
Arunachal Pradesh,IND,IND,NEC
Assam,IND,IND,NEC
Bihar,IND,IND,EZC
Chhattisgarh,IND,IND,CZC
Dadra and Nagar Haveli and Daman and Diu,IND,IND,WZC
Delhi,IND,IND,NZC
Goa,IND,IND,WZC
Gujarat,IND,IND,WZC
Haryana,IND,IND,NZC
Himachal Pradesh,IND,IND,NZC
Jammu & Kashmir,IND,IND,NZC
Jharkhand,IND,IND,EZC
Karnataka,IND,IND,SZC
Kerala,IND,IND,SZC
Madhya Pradesh,IND,IND,CZC
Maharashtra,IND,IND,WZC
Manipur,IND,IND,NEC
Meghalaya,IND,IND,NEC
Mizoram,IND,IND,NEC
Nagaland,IND,IND,NEC
Odisha,IND,IND,EZC
Puducherry,IND,IND,SZC
Punjab,IND,IND,NZC
Rajasthan,IND,IND,NZC
Sikkim,IND,IND,NEC
Tamil Nadu,IND,IND,SZC
Tripura,IND,IND,NEC
Uttar Pradesh,IND,IND,NZC
Uttarakhand,IND,IND,NZC
West Bengal,IND,IND,EZC
Chandigarh,IND,IND,NZC
Telangana,IND,IND,SZC
Ladakh,IND,IND,NZC
Lakshadweep,IND,IND,SZC
